2023 Upper tier local authorities Code,2023 Upper tier local authorities,Ethnic group (20 categories) Code,Ethnic group (20 categories),Observation
E06000017,Rutland,9,Mixed or Multiple ethnic groups: White and Asian,249
E06000017,Rutland,10,Mixed or Multiple ethnic groups: White and Black African,93
E06000017,Rutland,11,Mixed or Multiple ethnic groups: White and Black Caribbean,236
E06000017,Rutland,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,166
E06000017,Rutland,13,"White: English, Welsh, Scottish, Northern Irish or British",37372
E06000017,Rutland,14,White: Irish,265
E06000017,Rutland,15,White: Gypsy or Irish Traveller,86
E06000017,Rutland,16,White: Roma,18
E06000017,Rutland,17,White: Other White,1168
E06000017,Rutland,18,Other ethnic group: Arab,13
E06000017,Rutland,19,Other ethnic group: Any other ethnic group,198
E06000018,Nottingham,-8,Does not apply,0
E06000018,Nottingham,1,"Asian, Asian British or Asian Welsh: Bangladeshi",2223
E06000018,Nottingham,2,"Asian, Asian British or Asian Welsh: Chinese",4263
E06000018,Nottingham,3,"Asian, Asian British or Asian Welsh: Indian",11515
E06000018,Nottingham,4,"Asian, Asian British or Asian Welsh: Pakistani",21684
E06000018,Nottingham,5,"Asian, Asian British or Asian Welsh: Other Asian",8532
E06000018,Nottingham,6,"Black, Black British, Black Welsh, Caribbean or African: African",18740
E06000018,Nottingham,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",9339
E06000018,Nottingham,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",4136
E06000018,Nottingham,9,Mixed or Multiple ethnic groups: White and Asian,3363
E06000018,Nottingham,10,Mixed or Multiple ethnic groups: White and Black African,2129
E06000018,Nottingham,11,Mixed or Multiple ethnic groups: White and Black Caribbean,10129
E06000018,Nottingham,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,3442
E06000018,Nottingham,13,"White: English, Welsh, Scottish, Northern Irish or British",185580
E06000018,Nottingham,14,White: Irish,2360
E06000018,Nottingham,15,White: Gypsy or Irish Traveller,269
E06000018,Nottingham,16,White: Roma,1130
E06000018,Nottingham,17,White: Other White,24091
E06000018,Nottingham,18,Other ethnic group: Arab,3673
E06000018,Nottingham,19,Other ethnic group: Any other ethnic group,7037
E06000019,Herefordshire,-8,Does not apply,0
E06000019,Herefordshire,1,"Asian, Asian British or Asian Welsh: Bangladeshi",55
E06000019,Herefordshire,2,"Asian, Asian British or Asian Welsh: Chinese",339
E06000019,Herefordshire,3,"Asian, Asian British or Asian Welsh: Indian",843
E06000019,Herefordshire,4,"Asian, Asian British or Asian Welsh: Pakistani",139
E06000019,Herefordshire,5,"Asian, Asian British or Asian Welsh: Other Asian",842
E06000019,Herefordshire,6,"Black, Black British, Black Welsh, Caribbean or African: African",340
E06000019,Herefordshire,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",150
E06000019,Herefordshire,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",77
E06000019,Herefordshire,9,Mixed or Multiple ethnic groups: White and Asian,689
E06000019,Herefordshire,10,Mixed or Multiple ethnic groups: White and Black African,280
